nb_trawlers,fish_stock,capture,income,price,fleet_maintenance_cost,capital
26,4630.992503863517,60.0,300.0,5.0,520.0,-76241.2855512241
26,4584.1989687844925,60.0,300.0,5.0,520.0,-76461.2855512241
26,4527.381890457809,50.062207347452826,300.0,5.0,520.0,-76681.2855512241
26,4481.622853727879,40.0,250.31103673726412,5.0,520.0,-76950.97451448684
26,4444.314231855655,38.0411979250576,200.0,5.0,520.0,-77270.97451448684
26,4403.946772187191,20.0,190.205989625288,5.0,520.0,-77600.76852486155
26,4384.57668117155,20.0,100.0,5.0,520.0,-78020.76852486155
26,4354.87285632357,40.0,100.0,5.0,520.0,-78440.76852486155
26,4305.749927417244,40.0,200.0,5.0,520.0,-78760.76852486155
26,4262.673582407962,25.28408507483848,200.0,5.0,520.0,-79080.76852486155
26,4239.076859715944,60.0,126.4204253741924,5.0,520.0,-79474.34809948735
26,4189.577109679337,60.0,300.0,5.0,520.0,-79694.34809948735
26,4140.71244533038,60.0,300.0,5.0,520.0,-79914.34809948735
26,4094.941387747881,60.0,300.0,5.0,520.0,-80134.34809948735
26,4050.522862032804,60.0,300.0,5.0,520.0,-80354.34809948735
26,4004.886960973143,29.87980637532211,300.0,5.0,520.0,-80574.34809948735
26,3989.673359243256,27.10736775142647,149.39903187661054,5.0,520.0,-80944.94906761074
